	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
51	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	1.0	1.0	0.0	0.568	0.432	NA	NA	NA	NA	0.3333333333333333	0.3333333333333333		0.0017605633802816902	0.006225
52	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	10.0	1.0	0.0	0.546	0.454	NA	NA	NA	NA	0.6407407407407407	0.6407407407407407	0.08135140141623884	0.03296703296703297	0.006155
53	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	5.0	1.0	0.0	0.596	0.404	NA	NA	NA	NA	0.5636363636363636	0.5636363636363636	0.10910143046905874	0.018456375838926176	0.006495000000000001
54	HomSap	OutOfAfrica_2T12	0.001	1.0	0.01	50.0	1.0	0.0	0.562	0.438	NA	NA	NA	NA	0.5562321937321937	0.5562321937321937	0.036782479875415754	0.1387900355871886	0.00624
55	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	0.0	1.0	0.0	0.971	0.029	NA	NA	NA	NA	NA	NA	NA	0.0	0.2226
56	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	1.0	1.0	0.0	0.977	0.023	NA	NA	NA	NA	0.11347774702122902	0.11347774702122902	0.02663316514491836	0.08085977482088025	0.23414500000000002
57	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	10.0	1.0	0.0	0.968	0.032	NA	NA	NA	NA	0.14135616095160783	0.14135616095160783	0.010631580934581024	0.518595041322314	0.23204000000000002
58	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	5.0	1.0	0.0	0.979	0.021	NA	NA	NA	NA	0.12498909024707	0.12498909024707	0.013191663255089659	0.3176710929519918	0.22438
59	HomSap	OutOfAfrica_2T12	0.001	1.0	0.05	50.0	1.0	0.0	0.97	0.03	NA	NA	NA	NA	0.3613515931151246	0.3613515931151246	0.010985848571291767	0.8989690721649485	0.228745
60	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	0.0	1.0	0.0	0.501	0.499	NA	NA	NA	NA	NA	NA	NA	0.0	0.11162
61	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	1.0	1.0	0.0	0.475	0.525	NA	NA	NA	NA	0.16293774389340382	0.16293774389340382	0.04407699679158584	0.1031578947368421	0.113315
62	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	10.0	1.0	0.0	0.468	0.532	NA	NA	NA	NA	0.31635151367301967	0.31635151367301967	0.025851177321615924	0.4829059829059829	0.11503000000000001
63	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	5.0	1.0	0.0	0.494	0.506	NA	NA	NA	NA	0.21576493208962397	0.21576493208962397	0.02623442593146978	0.3643724696356275	0.11095499999999998
64	HomSap	OutOfAfrica_2T12	0.001	1.0	0.1	50.0	1.0	0.0	0.444	0.556	NA	NA	NA	NA	0.6647251495463945	0.6647251495463945	0.01940164219516629	0.8671171171171171	0.10961000000000001
65	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	0.0	1.0	0.636	0.364	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.7849175824175824
66	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	1.0	1.0	0.639	0.361	0.0	0.21779860326666664	0.11737089201877934	0.2284027777777778	0.11267605633802817	0.39603988137001417	0.3092062737538917	0.02835729135483303	0.18559556786703602	0.7700969529085873
67	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	10.0	1.0	0.618	0.382	0.0	0.4424086219682151	0.6618122977346278	0.45387218045112787	0.6456310679611651	0.4621596923249975	0.45725358366376007	0.014509260898408732	0.7198952879581152	0.7742801047120418
68	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	5.0	1.0	0.652	0.348	0.0	0.36483356701034486	0.4447852760736196	0.37310283687943263	0.4325153374233129	0.34714149539379907	0.36291972448636084	0.016498978897303007	0.5229885057471264	0.7763505747126439
