	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
65	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	0.0	1.0	0.3	0.7	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.8785785714285712
66	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	1.0	1.0	0.315	0.685	0.0	0.18094347595238097	0.13333333333333333	0.20381578947368423	0.12063492063492064	0.1491152352726987	0.16072764342709786	0.01898653753672658	0.20583941605839415	0.8796569343065694
67	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	10.0	1.0	0.314	0.686	0.0	0.38145502224299066	0.6815286624203821	0.38880952380952377	0.6687898089171974	0.3905114693279718	0.3900448785200422	0.012790075994673435	0.8104956268221575	0.8765306122448979
68	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	5.0	1.0	0.323	0.677	0.0	0.31930519154362413	0.4613003095975232	0.3241438356164384	0.4520123839009288	0.28885237806145314	0.2977207994091775	0.013681846057172188	0.6425406203840472	0.8737592319054654
69	HomSap	OutOfAfrica_2T12	0.001	1.0	0.5	50.0	1.0	0.329	0.671	0.0	0.6845830980937501	0.9726443768996961	0.6873510971786834	0.9696048632218845	0.7852078833199254	0.7527247253812613	0.009978243541779463	0.9567809239940388	0.8675186289120715
70	HomSap	OutOfAfrica_2T12	0.001	1.0	1.0	0.0	1.0	0.931	0.069	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.897391304347826
71	HomSap	OutOfAfrica_2T12	0.001	1.0	1.0	1.0	1.0	0.931	0.069	0.0	0.3164011199130434	0.12352309344790548	0.3357339449541285	0.11707841031149302	0.3532410949609281	0.33759946093845955	0.03134716257123492	0.18840579710144928	0.9046376811594202
72	HomSap	OutOfAfrica_2T12	0.001	1.0	1.0	10.0	1.0	0.921	0.079	0.0	0.47663209892555	0.6416938110749185	0.4895034843205575	0.6232356134636265	0.5346030519973157	0.493315728478242	0.015214443536548801	0.6708860759493671	0.9082911392405063
73	HomSap	OutOfAfrica_2T12	0.001	1.0	1.0	5.0	1.0	0.939	0.061	0.0	0.39109348884130984	0.422790202342918	0.39825641025641023	0.41533546325878595	0.5190749219162002	0.4076819679036279	0.017790062327708363	0.5409836065573771	0.8911475409836066
74	HomSap	OutOfAfrica_2T12	0.001	1.0	1.0	50.0	1.0	0.932	0.068	0.0	0.7864578942183907	0.9334763948497854	0.7875287356321837	0.9334763948497854	0.9192690832541814	0.7952278468568461	0.009988368532470452	0.7941176470588235	0.8852941176470589
75	HomSap	OutOfAfrica_2T12	0.01	0.0	0.01	0.0	1.0	0.0	0.399	0.601	NA	NA	NA	NA	NA	NA	NA	0.0	0.003355
76	HomSap	OutOfAfrica_2T12	0.01	0.0	0.01	1.0	1.0	0.0	0.401	0.599	NA	NA	NA	NA	NA	NA	NA	0.0	0.0029249999999999996
77	HomSap	OutOfAfrica_2T12	0.01	0.0	0.01	10.0	1.0	0.0	0.367	0.633	NA	NA	NA	NA	0.7916666666666666	0.7916666666666666	0.10326994983867542	0.021798365122615803	0.002955
78	HomSap	OutOfAfrica_2T12	0.01	0.0	0.01	5.0	1.0	0.0	0.385	0.615	NA	NA	NA	NA	0.875	0.875	0.125	0.01038961038961039	0.0031550000000000003
79	HomSap	OutOfAfrica_2T12	0.01	0.0	0.01	50.0	1.0	0.0	0.388	0.612	NA	NA	NA	NA	0.7397959183673469	0.7397959183673469	0.044783683506617385	0.12628865979381443	0.00311
80	HomSap	OutOfAfrica_2T12	0.01	0.0	0.05	0.0	1.0	0.0	0.843	0.157	NA	NA	NA	NA	NA	NA	NA	0.0	0.03222
81	HomSap	OutOfAfrica_2T12	0.01	0.0	0.05	1.0	1.0	0.0	0.862	0.138	NA	NA	NA	NA	0.35360094056645786	0.35360094056645786	0.06829051005060707	0.029002320185614848	0.03358500000000001
82	HomSap	OutOfAfrica_2T12	0.01	0.0	0.05	10.0	1.0	0.0	0.832	0.168	NA	NA	NA	NA	0.4119025899106904	0.4119025899106904	0.025759683892692595	0.23798076923076922	0.031050000000000005
83	HomSap	OutOfAfrica_2T12	0.01	0.0	0.05	5.0	1.0	0.0	0.83	0.17	NA	NA	NA	NA	0.3270724743137017	0.3270724743137017	0.03597860238491223	0.11325301204819277	0.03391500000000001
84	HomSap	OutOfAfrica_2T12	0.01	0.0	0.05	50.0	1.0	0.0	0.839	0.161	NA	NA	NA	NA	0.5684987596501019	0.5684987596501019	0.015025975994675422	0.6471990464839095	0.03284
85	HomSap	OutOfAfrica_2T12	0.01	0.0	0.1	0.0	1.0	0.033	0.913	0.054	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.28721302998965875
86	HomSap	OutOfAfrica_2T12	0.01	0.0	0.1	1.0	1.0	0.031	0.906	0.063	0.025777471999999996	0.16129032258064516	0.029000000000000005	0.16129032258064516	0.20184559061700183	0.19345502796569108	0.030955180579351073	0.10816777041942605	0.28828689370485033
87	HomSap	OutOfAfrica_2T12	0.01	0.0	0.1	10.0	1.0	0.019	0.916	0.065	0.14359603333333334	0.7894736842105263	0.14166666666666666	0.7894736842105263	0.26705643201886886	0.26348067825407223	0.014072605911757149	0.5578602620087336	0.27023445463812434
88	HomSap	OutOfAfrica_2T12	0.01	0.0	0.1	5.0	1.0	0.026	0.896	0.078	0.06813831352941176	0.6538461538461539	0.0759375	0.6153846153846154	0.2169872875325396	0.21082117660215532	0.0161726172580196	0.390625	0.28480492813141683
89	HomSap	OutOfAfrica_2T12	0.01	0.0	0.1	50.0	1.0	0.026	0.919	0.055	0.4433995923076924	1.0	0.43461538461538457	1.0	0.6098015878715622	0.6044805116044353	0.011411201319905584	0.9031556039173014	0.2717915811088296
90	HomSap	OutOfAfrica_2T12	0.01	0.0	0.5	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
91	HomSap	OutOfAfrica_2T12	0.01	0.0	0.5	1.0	1.0	1.0	0.0	0.0	0.15909850352040816	0.098	0.1711111111111111	0.09	NA	0.1711111111111111	0.029829915040475035	NA	NA
92	HomSap	OutOfAfrica_2T12	0.01	0.0	0.5	10.0	1.0	1.0	0.0	0.0	0.20207577977511246	0.667	0.21132861635220127	0.636	NA	0.21132861635220127	0.011177084066895751	NA	NA
93	HomSap	OutOfAfrica_2T12	0.01	0.0	0.5	5.0	1.0	1.0	0.0	0.0	0.1654901588228155	0.412	0.18316844919786096	0.374	NA	0.18316844919786096	0.014061647406978019	NA	NA
94	HomSap	OutOfAfrica_2T12	0.01	0.0	0.5	50.0	1.0	1.0	0.0	0.0	0.5139040087085428	0.995	0.5168718466195762	0.991	NA	0.5168718466195762	0.011373862139005802	NA	NA
95	HomSap	OutOfAfrica_2T12	0.01	0.0	1.0	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
96	HomSap	OutOfAfrica_2T12	0.01	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.21242304072916665	0.096	0.22139784946236563	0.093	NA	0.22139784946236563	0.03229625291367245	NA	NA
97	HomSap	OutOfAfrica_2T12	0.01	0.0	1.0	10.0	1.0	1.0	0.0	0.0	0.20755099507823616	0.703	0.22220364741641335	0.658	NA	0.22220364741641335	0.011433877967292295	NA	NA
98	HomSap	OutOfAfrica_2T12	0.01	0.0	1.0	5.0	1.0	1.0	0.0	0.0	0.16995440503480277	0.431	0.18342569269521408	0.397	NA	0.18342569269521408	0.0133795262768231	NA	NA
99	HomSap	OutOfAfrica_2T12	0.01	0.0	1.0	50.0	1.0	1.0	0.0	0.0	0.525428716090909	0.99	0.5266396761133603	0.988	NA	0.5266396761133603	0.011262814011531924	NA	NA
